start_time,end_time,speaker
0.005,4.105,SPEAKER_01
4.525,7.405,SPEAKER_01
7.705,9.205,SPEAKER_01
9.645,11.785,SPEAKER_01
12.045,14.305,SPEAKER_01
14.785,17.125,SPEAKER_01
17.765,21.105,SPEAKER_01
21.485,27.365,SPEAKER_01
27.805,29.925,SPEAKER_01
30.025,34.005,SPEAKER_01
34.485,37.685,SPEAKER_01
38.465,40.365,SPEAKER_01
40.865,41.805,SPEAKER_00
43.145,44.465,SPEAKER_00
44.845,46.345,SPEAKER_00
46.505,47.325,SPEAKER_01
47.405,48.105,SPEAKER_00
48.485,48.985,SPEAKER_00
49.845,55.365,SPEAKER_00
55.725,56.045,SPEAKER_01
56.385,57.465,SPEAKER_00
58.305,59.385,SPEAKER_00
59.465,60.305,SPEAKER_00
61.205,62.485,SPEAKER_00
63.165,64.165,SPEAKER_00
64.365,66.965,SPEAKER_00
67.825,68.865,SPEAKER_01
69.565,76.225,SPEAKER_01
77.025,80.965,SPEAKER_01
81.405,81.925,SPEAKER_01
82.525,89.225,SPEAKER_01
89.825,91.585,SPEAKER_01
92.405,94.225,SPEAKER_01
94.725,102.445,SPEAKER_01
102.625,105.845,SPEAKER_01
106.445,112.965,SPEAKER_01
113.445,119.625,SPEAKER_01
120.385,121.665,SPEAKER_01
122.105,122.565,SPEAKER_01
123.305,126.605,SPEAKER_01
127.085,135.845,SPEAKER_01
147.225,149.645,SPEAKER_00
150.625,153.565,SPEAKER_00
154.445,179.965,SPEAKER_00
182.845,186.285,SPEAKER_00
187.285,187.985,SPEAKER_00
188.405,193.985,SPEAKER_01
194.345,198.205,SPEAKER_01
198.645,203.965,SPEAKER_01
204.145,206.345,SPEAKER_01
206.845,220.225,SPEAKER_01
220.345,222.905,SPEAKER_01
223.305,223.745,SPEAKER_01
224.085,226.945,SPEAKER_01
227.305,232.985,SPEAKER_01
233.185,238.305,SPEAKER_01
238.905,250.125,SPEAKER_01
250.245,255.405,SPEAKER_01
256.245,263.905,SPEAKER_01
264.325,266.205,SPEAKER_01
266.385,286.605,SPEAKER_01
286.785,299.365,SPEAKER_01
300.085,301.585,SPEAKER_01
301.905,326.645,SPEAKER_01
326.765,330.405,SPEAKER_01
330.865,338.165,SPEAKER_01
338.305,339.785,SPEAKER_01
